,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Ghana,GH,,,,7.95,-1.02,566,8,4,554,2020-04-13 00:00:00+00:00
1,Ghana,GH,,,,7.95,-1.02,566,8,4,554,2020-04-14 00:00:00+00:00
2,Ghana,GH,,,,7.95,-1.02,636,8,17,611,2020-04-15 00:00:00+00:00
3,Ghana,GH,,,,7.95,-1.02,641,8,83,550,2020-04-16 00:00:00+00:00
4,Ghana,GH,,,,7.95,-1.02,641,8,83,550,2020-04-17 00:00:00+00:00
5,Ghana,GH,,,,7.95,-1.02,641,8,83,550,2020-04-18 00:00:00+00:00
6,Ghana,GH,,,,7.95,-1.02,834,9,99,726,2020-04-19 00:00:00+00:00
7,Ghana,GH,,,,7.95,-1.02,1042,9,99,934,2020-04-20 00:00:00+00:00
8,Ghana,GH,,,,7.95,-1.02,1042,9,99,934,2020-04-21 00:00:00+00:00
9,Ghana,GH,,,,7.95,-1.02,1042,9,99,934,2020-04-22 00:00:00+00:00
10,Ghana,GH,,,,7.95,-1.02,1154,9,99,1046,2020-04-23 00:00:00+00:00
11,Ghana,GH,,,,7.95,-1.02,1154,9,99,1046,2020-04-24 00:00:00+00:00
12,Ghana,GH,,,,7.95,-1.02,1279,10,134,1135,2020-04-25 00:00:00+00:00
13,Ghana,GH,,,,7.95,-1.02,1279,10,134,1135,2020-04-26 00:00:00+00:00
14,Ghana,GH,,,,7.95,-1.02,1550,11,155,1384,2020-04-27 00:00:00+00:00
15,Ghana,GH,,,,7.95,-1.02,1550,11,155,1384,2020-04-28 00:00:00+00:00
16,Ghana,GH,,,,7.95,-1.02,2169,18,229,1922,2020-05-04 00:00:00+00:00
17,Ghana,GH,,,,7.95,-1.02,2719,18,294,2407,2020-05-05 00:00:00+00:00
18,Ghana,GH,,,,7.95,-1.02,2719,18,294,2407,2020-05-06 00:00:00+00:00
