,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Spain,ES,,,,40.46,-3.75,166831,17209,62391,87231,2020-04-13 00:00:00+00:00
1,Spain,ES,,,,40.46,-3.75,170099,17756,64727,87616,2020-04-14 00:00:00+00:00
2,Spain,ES,,,,40.46,-3.75,174060,18255,67504,88301,2020-04-15 00:00:00+00:00
3,Spain,ES,,,,40.46,-3.75,182816,19130,74797,88889,2020-04-16 00:00:00+00:00
4,Spain,ES,,,,40.46,-3.75,184948,19315,74797,90836,2020-04-17 00:00:00+00:00
5,Spain,ES,,,,40.46,-3.75,190839,20002,74797,96040,2020-04-18 00:00:00+00:00
6,Spain,ES,,,,40.46,-3.75,194416,20639,74797,98980,2020-04-19 00:00:00+00:00
7,Spain,ES,,,,40.46,-3.75,198674,20453,77357,100864,2020-04-20 00:00:00+00:00
8,Spain,ES,,,,40.46,-3.75,200210,20852,80587,98771,2020-04-21 00:00:00+00:00
9,Spain,ES,,,,40.46,-3.75,204178,21282,82514,100382,2020-04-22 00:00:00+00:00
10,Spain,ES,,,,40.46,-3.75,208389,21717,85915,100757,2020-04-23 00:00:00+00:00
11,Spain,ES,,,,40.46,-3.75,213024,22157,89250,101617,2020-04-24 00:00:00+00:00
12,Spain,ES,,,,40.46,-3.75,219764,22524,92355,104885,2020-04-25 00:00:00+00:00
13,Spain,ES,,,,40.46,-3.75,223759,22902,95708,105149,2020-04-26 00:00:00+00:00
14,Spain,ES,,,,40.46,-3.75,226629,23190,117727,85712,2020-04-27 00:00:00+00:00
15,Spain,ES,,,,40.46,-3.75,229422,23521,120832,85069,2020-04-28 00:00:00+00:00
16,Spain,ES,,,,40.46,-3.75,217466,25264,118902,73300,2020-05-04 00:00:00+00:00
17,Spain,ES,,,,40.46,-3.75,218011,25428,121343,71240,2020-05-05 00:00:00+00:00
18,Spain,ES,,,,40.46,-3.75,219329,25613,123486,70230,2020-05-06 00:00:00+00:00
