,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Singapore,SG,,,,1.35,103.82,1,0,0,1,2020-01-23 00:00:00+00:00
1,Singapore,SG,,,,1.35,103.82,3,0,0,3,2020-01-24 00:00:00+00:00
2,Singapore,SG,,,,1.35,103.82,3,0,0,3,2020-01-25 00:00:00+00:00
3,Singapore,SG,,,,1.35,103.82,4,0,0,4,2020-01-26 00:00:00+00:00
4,Singapore,SG,,,,1.35,103.82,5,0,0,5,2020-01-27 00:00:00+00:00
5,Singapore,SG,,,,1.35,103.82,7,0,0,7,2020-01-28 00:00:00+00:00
6,Singapore,SG,,,,1.35,103.82,7,0,0,7,2020-01-29 00:00:00+00:00
7,Singapore,SG,,,,1.35,103.82,10,0,0,10,2020-01-30 00:00:00+00:00
8,Singapore,SG,,,,1.35,103.82,13,0,0,13,2020-01-31 00:00:00+00:00
9,Singapore,SG,,,,1.35,103.82,16,0,0,16,2020-02-01 00:00:00+00:00
10,Singapore,SG,,,,1.35,103.82,18,0,0,18,2020-02-02 00:00:00+00:00
11,Singapore,SG,,,,1.35,103.82,18,0,0,18,2020-02-03 00:00:00+00:00
12,Singapore,SG,,,,1.35,103.82,24,0,0,24,2020-02-04 00:00:00+00:00
13,Singapore,SG,,,,1.35,103.82,28,0,0,28,2020-02-05 00:00:00+00:00
14,Singapore,SG,,,,1.35,103.82,28,0,0,28,2020-02-06 00:00:00+00:00
15,Singapore,SG,,,,1.35,103.82,30,0,0,30,2020-02-07 00:00:00+00:00
16,Singapore,SG,,,,1.35,103.82,33,0,2,31,2020-02-08 00:00:00+00:00
17,Singapore,SG,,,,1.35,103.82,40,0,2,38,2020-02-09 00:00:00+00:00
18,Singapore,SG,,,,1.35,103.82,45,0,2,43,2020-02-10 00:00:00+00:00
19,Singapore,SG,,,,1.35,103.82,47,0,9,38,2020-02-11 00:00:00+00:00
20,Singapore,SG,,,,1.35,103.82,50,0,15,35,2020-02-12 00:00:00+00:00
21,Singapore,SG,,,,1.35,103.82,58,0,15,43,2020-02-13 00:00:00+00:00
22,Singapore,SG,,,,1.35,103.82,67,0,17,50,2020-02-14 00:00:00+00:00
23,Singapore,SG,,,,1.35,103.82,72,0,18,54,2020-02-15 00:00:00+00:00
24,Singapore,SG,,,,1.35,103.82,75,0,18,57,2020-02-16 00:00:00+00:00
25,Singapore,SG,,,,1.35,103.82,77,0,24,53,2020-02-17 00:00:00+00:00
26,Singapore,SG,,,,1.35,103.82,81,0,29,52,2020-02-18 00:00:00+00:00
27,Singapore,SG,,,,1.35,103.82,84,0,34,50,2020-02-19 00:00:00+00:00
28,Singapore,SG,,,,1.35,103.82,84,0,34,50,2020-02-20 00:00:00+00:00
29,Singapore,SG,,,,1.35,103.82,85,0,37,48,2020-02-21 00:00:00+00:00
30,Singapore,SG,,,,1.35,103.82,85,0,37,48,2020-02-22 00:00:00+00:00
31,Singapore,SG,,,,1.35,103.82,89,0,51,38,2020-02-23 00:00:00+00:00
32,Singapore,SG,,,,1.35,103.82,89,0,51,38,2020-02-24 00:00:00+00:00
33,Singapore,SG,,,,1.35,103.82,91,0,53,38,2020-02-25 00:00:00+00:00
34,Singapore,SG,,,,1.35,103.82,93,0,62,31,2020-02-26 00:00:00+00:00
35,Singapore,SG,,,,1.35,103.82,93,0,62,31,2020-02-27 00:00:00+00:00
36,Singapore,SG,,,,1.35,103.82,93,0,62,31,2020-02-28 00:00:00+00:00
37,Singapore,SG,,,,1.35,103.82,102,0,72,30,2020-02-29 00:00:00+00:00
38,Singapore,SG,,,,1.35,103.82,106,0,72,34,2020-03-01 00:00:00+00:00
39,Singapore,SG,,,,1.35,103.82,108,0,78,30,2020-03-02 00:00:00+00:00
40,Singapore,SG,,,,1.35,103.82,110,0,78,32,2020-03-03 00:00:00+00:00
41,Singapore,SG,,,,1.35,103.82,110,0,78,32,2020-03-04 00:00:00+00:00
42,Singapore,SG,,,,1.35,103.82,117,0,78,39,2020-03-05 00:00:00+00:00
43,Singapore,SG,,,,1.35,103.82,130,0,78,52,2020-03-06 00:00:00+00:00
44,Singapore,SG,,,,1.35,103.82,138,0,78,60,2020-03-07 00:00:00+00:00
45,Singapore,SG,,,,1.35,103.82,150,0,78,72,2020-03-08 00:00:00+00:00
46,Singapore,SG,,,,1.35,103.82,150,0,78,72,2020-03-09 00:00:00+00:00
47,Singapore,SG,,,,1.35,103.82,160,0,78,82,2020-03-10 00:00:00+00:00
48,Singapore,SG,,,,1.35,103.82,178,0,96,82,2020-03-11 00:00:00+00:00
49,Singapore,SG,,,,1.35,103.82,178,0,96,82,2020-03-12 00:00:00+00:00
50,Singapore,SG,,,,1.35,103.82,200,0,97,103,2020-03-13 00:00:00+00:00
51,Singapore,SG,,,,1.35,103.82,212,0,105,107,2020-03-14 00:00:00+00:00
52,Singapore,SG,,,,1.35,103.82,226,0,105,121,2020-03-15 00:00:00+00:00
53,Singapore,SG,,,,1.35,103.82,243,0,109,134,2020-03-16 00:00:00+00:00
54,Singapore,SG,,,,1.35,103.82,266,0,114,152,2020-03-17 00:00:00+00:00
55,Singapore,SG,,,,1.35,103.82,313,0,114,199,2020-03-18 00:00:00+00:00
56,Singapore,SG,,,,1.35,103.82,345,0,114,231,2020-03-19 00:00:00+00:00
57,Singapore,SG,,,,1.35,103.82,385,0,124,261,2020-03-20 00:00:00+00:00
58,Singapore,SG,,,,1.35,103.82,432,2,140,290,2020-03-21 00:00:00+00:00
59,Singapore,SG,,,,1.35,103.82,455,2,144,309,2020-03-22 00:00:00+00:00
60,Singapore,SG,,,,1.35,103.82,509,2,144,363,2020-03-23 00:00:00+00:00
61,Singapore,SG,,,,1.35,103.82,558,2,156,400,2020-03-24 00:00:00+00:00
62,Singapore,SG,,,,1.35,103.82,631,2,160,469,2020-03-25 00:00:00+00:00
63,Singapore,SG,,,,1.35,103.82,683,2,172,509,2020-03-26 00:00:00+00:00
64,Singapore,SG,,,,1.35,103.82,732,2,183,547,2020-03-27 00:00:00+00:00
65,Singapore,SG,,,,1.35,103.82,802,2,198,602,2020-03-28 00:00:00+00:00
66,Singapore,SG,,,,1.35,103.82,844,3,212,629,2020-03-29 00:00:00+00:00
67,Singapore,SG,,,,1.35,103.82,879,3,228,648,2020-03-30 00:00:00+00:00
68,Singapore,SG,,,,1.35,103.82,926,3,240,683,2020-03-31 00:00:00+00:00
69,Singapore,SG,,,,1.35,103.82,1000,3,245,752,2020-04-01 00:00:00+00:00
70,Singapore,SG,,,,1.35,103.82,1049,4,266,779,2020-04-02 00:00:00+00:00
71,Singapore,SG,,,,1.35,103.82,1114,5,282,827,2020-04-03 00:00:00+00:00
72,Singapore,SG,,,,1.35,103.82,1189,6,297,886,2020-04-04 00:00:00+00:00
73,Singapore,SG,,,,1.35,103.82,1309,6,320,983,2020-04-05 00:00:00+00:00
74,Singapore,SG,,,,1.35,103.82,1375,6,344,1025,2020-04-06 00:00:00+00:00
75,Singapore,SG,,,,1.35,103.82,1481,6,377,1098,2020-04-07 00:00:00+00:00
76,Singapore,SG,,,,1.35,103.82,1623,6,406,1211,2020-04-08 00:00:00+00:00
77,Singapore,SG,,,,1.35,103.82,1910,6,460,1444,2020-04-09 00:00:00+00:00
78,Singapore,SG,,,,1.35,103.82,2108,7,492,1609,2020-04-10 00:00:00+00:00
79,Singapore,SG,,,,1.35,103.82,2299,8,528,1763,2020-04-11 00:00:00+00:00
80,Singapore,SG,,,,1.35,103.82,2532,8,560,1964,2020-04-12 00:00:00+00:00
81,Singapore,SG,,,,1.35,103.82,2918,9,586,2323,2020-04-13 00:00:00+00:00
82,Singapore,SG,,,,1.35,103.82,3252,10,611,2631,2020-04-14 00:00:00+00:00
83,Singapore,SG,,,,1.35,103.82,3699,10,652,3037,2020-04-15 00:00:00+00:00
84,Singapore,SG,,,,1.35,103.82,4427,10,683,3734,2020-04-16 00:00:00+00:00
85,Singapore,SG,,,,1.35,103.82,5050,11,708,4331,2020-04-17 00:00:00+00:00
86,Singapore,SG,,,,1.35,103.82,5992,11,740,5241,2020-04-18 00:00:00+00:00
87,Singapore,SG,,,,1.35,103.82,6588,11,768,5809,2020-04-19 00:00:00+00:00
88,Singapore,SG,,,,1.35,103.82,8014,11,801,7202,2020-04-20 00:00:00+00:00
89,Singapore,SG,,,,1.35,103.82,9125,11,839,8275,2020-04-21 00:00:00+00:00
90,Singapore,SG,,,,1.35,103.82,10141,12,896,9233,2020-04-22 00:00:00+00:00
91,Singapore,SG,,,,1.35,103.82,11178,12,924,10242,2020-04-23 00:00:00+00:00
92,Singapore,SG,,,,1.35,103.82,12075,12,956,11107,2020-04-24 00:00:00+00:00
93,Singapore,SG,,,,1.35,103.82,12693,12,1002,11679,2020-04-25 00:00:00+00:00
94,Singapore,SG,,,,1.35,103.82,13624,12,1060,12552,2020-04-26 00:00:00+00:00
95,Singapore,SG,,,,1.35,103.82,14423,14,1095,13314,2020-04-27 00:00:00+00:00
96,Singapore,SG,,,,1.35,103.82,14951,14,1128,13809,2020-04-28 00:00:00+00:00
97,Singapore,SG,,,,1.35,103.82,15641,14,1188,14439,2020-04-29 00:00:00+00:00
98,Singapore,SG,,,,1.35,103.82,16169,15,1244,14910,2020-04-30 00:00:00+00:00
99,Singapore,SG,,,,1.35,103.82,17101,16,1268,15817,2020-05-01 00:00:00+00:00
100,Singapore,SG,,,,1.35,103.82,17548,17,1347,16184,2020-05-02 00:00:00+00:00
101,Singapore,SG,,,,1.35,103.82,18205,18,1408,16779,2020-05-03 00:00:00+00:00
102,Singapore,SG,,,,1.35,103.82,18778,18,1457,17303,2020-05-04 00:00:00+00:00
103,Singapore,SG,,,,1.35,103.82,19410,18,1519,17873,2020-05-05 00:00:00+00:00
104,Singapore,SG,,,,1.35,103.82,20198,20,1634,18544,2020-05-06 00:00:00+00:00
105,Singapore,SG,,,,1.35,103.82,20939,20,1712,19207,2020-05-07 00:00:00+00:00
106,Singapore,SG,,,,1.35,103.82,21707,20,2040,19647,2020-05-08 00:00:00+00:00
107,Singapore,SG,,,,1.35,103.82,22460,20,2296,20144,2020-05-09 00:00:00+00:00
108,Singapore,SG,,,,1.35,103.82,23336,20,2721,20595,2020-05-10 00:00:00+00:00
109,Singapore,SG,,,,1.35,103.82,23822,21,3225,20576,2020-05-11 00:00:00+00:00
110,Singapore,SG,,,,1.35,103.82,24671,21,3851,20799,2020-05-12 00:00:00+00:00
111,Singapore,SG,,,,1.35,103.82,25346,21,4809,20516,2020-05-13 00:00:00+00:00
112,Singapore,SG,,,,1.35,103.82,26098,21,5973,20104,2020-05-14 00:00:00+00:00
113,Singapore,SG,,,,1.35,103.82,26891,21,7248,19622,2020-05-15 00:00:00+00:00
114,Singapore,SG,,,,1.35,103.82,27356,22,8342,18992,2020-05-16 00:00:00+00:00
115,Singapore,SG,,,,1.35,103.82,28038,22,9340,18676,2020-05-17 00:00:00+00:00
116,Singapore,SG,,,,1.35,103.82,28343,22,9835,18486,2020-05-18 00:00:00+00:00
117,Singapore,SG,,,,1.35,103.82,28794,22,10365,18407,2020-05-19 00:00:00+00:00
118,Singapore,SG,,,,1.35,103.82,29364,22,11207,18135,2020-05-20 00:00:00+00:00
119,Singapore,SG,,,,1.35,103.82,29812,23,12117,17672,2020-05-21 00:00:00+00:00
120,Singapore,SG,,,,1.35,103.82,30426,23,12995,17408,2020-05-22 00:00:00+00:00
121,Singapore,SG,,,,1.35,103.82,31068,23,13882,17163,2020-05-23 00:00:00+00:00
122,Singapore,SG,,,,1.35,103.82,31616,23,14876,16717,2020-05-24 00:00:00+00:00
123,Singapore,SG,,,,1.35,103.82,31960,23,15738,16199,2020-05-25 00:00:00+00:00
124,Singapore,SG,,,,1.35,103.82,32343,23,16444,15876,2020-05-26 00:00:00+00:00
125,Singapore,SG,,,,1.35,103.82,32876,23,17276,15577,2020-05-27 00:00:00+00:00
126,Singapore,SG,,,,1.35,103.82,33249,23,18294,14932,2020-05-28 00:00:00+00:00
127,Singapore,SG,,,,1.35,103.82,33860,23,19631,14206,2020-05-29 00:00:00+00:00
128,Singapore,SG,,,,1.35,103.82,34366,23,20727,13616,2020-05-30 00:00:00+00:00
129,Singapore,SG,,,,1.35,103.82,34884,23,21699,13162,2020-05-31 00:00:00+00:00
130,Singapore,SG,,,,1.35,103.82,35292,24,22466,12802,2020-06-01 00:00:00+00:00
131,Singapore,SG,,,,1.35,103.82,35836,24,23175,12637,2020-06-02 00:00:00+00:00
132,Singapore,SG,,,,1.35,103.82,36405,24,23582,12799,2020-06-03 00:00:00+00:00
133,Singapore,SG,,,,1.35,103.82,36922,24,23904,12994,2020-06-04 00:00:00+00:00
134,Singapore,SG,,,,1.35,103.82,37183,24,24209,12950,2020-06-05 00:00:00+00:00
135,Singapore,SG,,,,1.35,103.82,37527,25,24559,12943,2020-06-06 00:00:00+00:00
136,Singapore,SG,,,,1.35,103.82,37910,25,24886,12999,2020-06-07 00:00:00+00:00
137,Singapore,SG,,,,1.35,103.82,38296,25,25368,12903,2020-06-08 00:00:00+00:00
138,Singapore,SG,,,,1.35,103.82,38514,25,25877,12612,2020-06-09 00:00:00+00:00
139,Singapore,SG,,,,1.35,103.82,38965,25,26532,12408,2020-06-10 00:00:00+00:00
140,Singapore,SG,,,,1.35,103.82,39387,25,27286,12076,2020-06-11 00:00:00+00:00
141,Singapore,SG,,,,1.35,103.82,39850,25,28040,11785,2020-06-12 00:00:00+00:00
142,Singapore,SG,,,,1.35,103.82,40197,26,28808,11363,2020-06-13 00:00:00+00:00
143,Singapore,SG,,,,1.35,103.82,40604,26,29589,10989,2020-06-14 00:00:00+00:00
144,Singapore,SG,,,,1.35,103.82,40818,26,30366,10426,2020-06-15 00:00:00+00:00
145,Singapore,SG,,,,1.35,103.82,40969,26,31163,9780,2020-06-16 00:00:00+00:00
146,Singapore,SG,,,,1.35,103.82,41216,26,31938,9252,2020-06-17 00:00:00+00:00
147,Singapore,SG,,,,1.35,103.82,41473,26,32712,8735,2020-06-18 00:00:00+00:00
148,Singapore,SG,,,,1.35,103.82,41615,26,33459,8130,2020-06-19 00:00:00+00:00
149,Singapore,SG,,,,1.35,103.82,41833,26,34224,7583,2020-06-20 00:00:00+00:00
150,Singapore,SG,,,,1.35,103.82,42095,26,34942,7127,2020-06-21 00:00:00+00:00
151,Singapore,SG,,,,1.35,103.82,42313,26,35590,6697,2020-06-22 00:00:00+00:00
152,Singapore,SG,,,,1.35,103.82,42432,26,35995,6411,2020-06-23 00:00:00+00:00
